clarity_id,metric,metric_year,provider_code,clarity_industry_code,clarity_industry_name,country_code,co2directscope1_raw,revenue,co2directscope1_intensity,verification_co2directscope1,targets_emissions,policy_emissions,sbti_alignment,nz_statement
01FF543SHTXSQE0JJFRGXQSGMV,CO2DIRECTSCOPE1,2009,TRC8,20201070/0,Diversified Support Services,AU,35492804.59384299,476070.1025049547,74.55373569373347,,100,100,1,100
01FF543RR7F6F0Z5E8FMNA07MY,CO2DIRECTSCOPE1,2017,TRC1,55100000/1,Electricity generation utilities,JP,2262163315.5375,627499.7701002513,3605.042461092997,,100,100,,
01FF543VAX132YJM3K5HCN1VE4,CO2DIRECTSCOPE1,2010,TRC1,55103010/0,Multi-Utilities,FR,697521142.5,1872845.6277284261,372.4392081081574,,100,100,100,
01FF543RV83WN4HSSWEBBA0Q2E,CO2DIRECTSCOPE1,2012,TRC1,55100000/1,Electricity generation utilities,BR,24643196.1625,330169.0534561471,74.63811615455687,,100,100,1,1
01FF543WGX2MVF8WGFHYNFDGRC,CO2DIRECTSCOPE1,2011,TRC8,60201020/0,Real Estate Operating Companies,SE,42016.325000000004,17423.464007247705,2.4114794269682718,,100,100,100,100
01FF543WCGC48BTCPDE0NJDKCZ,CO2DIRECTSCOPE1,2017,TRC8,25102010/0,Automobile Manufacturers,DE,537218686.125,32592556.35077849,16.482864379926685,,100,100,100,100
01FF543TSW14TZ22ZDBNQ1MC8K,CO2DIRECTSCOPE1,2017,TRC8,25203010/0,"Apparel, Accessories & Luxury Goods",FR,11997434.875,2186824.4487864,5.48623593524304,,100,100,100,100
01FF543TNN0QCPFKBFJ2SXXZ7B,CO2DIRECTSCOPE1,2019,TRC1,20304010/0,Rail Transportation,GB,47805246.5375,615925.8902235009,77.61525744623744,100,100,100,100,
01FF543RVHBY4HTGZ1FHZ83F1W,CO2DIRECTSCOPE1,2011,TRC1,35202010/0,Pharmaceuticals,JP,74172311.5,286444.27141457173,258.9415076576978,,100,100,,
01FF543SVQH4Z34PKNVEJB0VEY,CO2DIRECTSCOPE1,2019,TRC8,25201010/0,Consumer Electronics,JP,35055362.625,2700156.5023190286,12.982715111102898,1,100,100,100,1
01FF543RM4A2BJSK78EFT7BDXM,CO2DIRECTSCOPE1,2016,TRC8,20302010/0,Passenger Airlines,GB,838614308.3926321,812984.7552604359,1031.525256736193,,100,100,100,1
01FF543VTDN6SD28ZKHAFZ5HR0,CO2DIRECTSCOPE1,2021,TRC8,40101010/0,Diversified Banks,BR,2130992.5,4375815.221351331,0.48699325547432754,100,100,100,,100
01FF543T6EEY0DE67X5CRPGH68,CO2DIRECTSCOPE1,2011,TRC1,45103010/0,Application Software,DE,18154140.0375,1921999.160679118,9.44544639191488,,100,100,100,1
01FF543TDYBZG12XM2BT791RCK,CO2DIRECTSCOPE1,2009,TRC8,20106020/0,Industrial Machinery & Supplies & Components,JP,1696445.5070762553,131820.69721938894,12.869341028085023,,100,100,100,100
01FF543WA8CMZ86Y47R5PGP9EQ,CO2DIRECTSCOPE1,2007,TRC1,40301020/0,Life & Health Insurance,ZA,955245.0838749987,355874.53604589176,2.684218698220699,,100,100,,1
01FF543SAW0WFWBASSGP1ZVSJF,CO2DIRECTSCOPE1,2012,TRC1,30101040/0,Consumer Staples Merchandise Retail,MX,106436881.775,3037396.4521195535,35.042143313470426,,100,100,,100
01FF543TNN0QCPFKBFJ2SXXZ7B,CO2DIRECTSCOPE1,2007,TRC1,20304010/0,Rail Transportation,GB,55154705.1375,288270.0958199698,191.3299573464782,,100,100,100,
01FF543RVK0P87ZE1SP892X4VY,CO2DIRECTSCOPE1,2008,TRC1,30201010/0,Brewers,DK,91539085.0,1085736.7376184543,84.31057164077315,,100,100,100,100
01FF543RR7F6F0Z5E8FMNA07MY,CO2DIRECTSCOPE1,2018,TRC1,55100000/1,Electricity generation utilities,JP,2127485746.3804626,672860.9810904643,3161.8503764813017,,100,100,,
01FF543T611072GYP5Z9N7X4VQ,CO2DIRECTSCOPE1,2018,TRC8,45102010/0,IT Consulting & Other Services,US,135878.47500000015,497010.75,0.27339142060810584,100,100,100,100,1
01FF543S5H6N5GZ47P66C3V76V,CO2DIRECTSCOPE1,2016,TRC8,20304010/0,Rail Transportation,US,616155115.015827,1236015.0,498.50132483491456,,100,100,100,1
01FF543VQ2VJD1YZM9TX2B7XVH,CO2DIRECTSCOPE1,2019,TRC1,40101010/0,Diversified Banks,US,3654500.0,2690265.0,1.3584163641871712,100,1,100,,1
01FF543RE2PM00TVYCDWZ0E18Q,CO2DIRECTSCOPE1,2011,TRC1,45202030/0,"Technology Hardware, Storage & Peripherals",JP,3232606.5875,419031.61966760666,7.7144693521320375,,100,100,100,1
01FF543S9WCHWPQBRR2SSDWYQT,CO2DIRECTSCOPE1,2018,TRC1,30101040/0,Consumer Staples Merchandise Retail,JP,40777989.8125,9415642.842036212,4.330876871247319,1,1,100,100,100
01FF543T5FJKMYKRWV4MNDPV4W,CO2DIRECTSCOPE1,2021,TRC8,55103010/0,Multi-Utilities,US,1265361052.5,1091140.0,1159.668834888282,1,100,100,1,100
01FF543VBMZE580527YKNRZEQP,CO2DIRECTSCOPE1,2015,TRC1,20102010/0,Building Products,JP,21429619.45,453763.4250314994,47.226414179398425,,100,100,100,100
01FF543T1HBKV3RG27ZH43EN8Z,CO2DIRECTSCOPE1,2015,TRC8,55100000/1,Electricity generation utilities,FI,2416750014.9160776,467108.6002100098,5173.850393312216,,100,100,,100
01FF543TR56S1TME1FDE4KT352,CO2DIRECTSCOPE1,2021,TRC8,20104010/0,Electrical Components & Equipment,JP,995467.875,153326.36727410863,6.492476752027628,1,100,100,,1
01FF543T492EXQVN2DV433HXV2,CO2DIRECTSCOPE1,2005,TRC1,20106010/0,Construction Machinery & Heavy Transportation Equipment,DE,23892498.75,1981145.4448340717,12.059941793925729,,100,100,,
01FF543V5AEP3K0YV1BGSD73M2,CO2DIRECTSCOPE1,2015,TRC8,55100000/1,Electricity generation utilities,BR,1051724697.287504,819278.7210144199,1283.720265534631,,100,100,1,1
01FF543WCWEFRM8D2T30NAD8WG,CO2DIRECTSCOPE1,2007,TRC1,35202010/0,Pharmaceuticals,JP,9526666.25,166477.50408325167,57.2249464121947,,100,100,100,100
01FF543W2E9D8MB64B3XPJFGZW,CO2DIRECTSCOPE1,2020,TRC8,25201010/0,Consumer Electronics,KR,55020765.0,6713126.67277176,8.195996840512867,100,100,100,100,100
01FF543V483DWVEMC04A8ENQHH,CO2DIRECTSCOPE1,2006,TRC1,35103010/0,Health Care Technology,BE,8262428.661250001,459276.4438607237,17.9900989299499,,1,100,1,
01FF543SHFXXECFD9JW35AN4W1,CO2DIRECTSCOPE1,2012,TRC1,20106020/0,Industrial Machinery & Supplies & Components,FI,13200010.075000001,847643.3690425649,15.57259875684482,,100,100,100,100
01FF543S9NNH5C2Z0VYB8BE031,CO2DIRECTSCOPE1,2022,TRC8,20107010/0,Trading Companies & Distributors,ZA,38733790.0,311982.04968119186,124.15390577624987,,1,100,,1
01FF543TSB9F2YHJRNTMNAT5YZ,CO2DIRECTSCOPE1,2010,TRC1,20302010/0,Passenger Airlines,AU,1508952003.75,955130.5008284869,1579.8385691181722,,100,100,,
01FF543TB1YE6G00AWTYTADD3F,CO2DIRECTSCOPE1,2017,TRC1,60108020/0,Self-Storage REITs,GB,23005.15,17836.223805439284,1.2897993572487254,,100,100,100,1
01FF543V7NGXJK79XHQ4W6DWD5,CO2DIRECTSCOPE1,2009,TRC8,15102010/0,Construction Materials,AU,94058304.99999997,283731.1701159882,331.5050121618619,,100,100,,
